email,password,academic_field_id,GPA,work,short_break,long_break
drofe0@csmonitor.com,Ewq397oiYx,5,98.8,40,1,19
rwimpey1@freewebs.com,iTEkFyRzU5n,3,73.4,43,5,30
gparkin2@timesonline.co.uk,D3XuYS,4,91.4,42,3,21
acrocker3@cocolog-nifty.com,ZWSSfY3zu,6,68.3,32,5,23
lsully4@cbc.ca,9cSdTbeb,10,67.9,22,7,26
ncleobury5@phpbb.com,gdd5vd,8,82.1,45,3,26
kleckie6@nymag.com,ylU6tl,7,88.3,24,5,27
csamson7@netlog.com,Tx7relvh7,9,67.3,35,4,11
ldanzig8@so-net.ne.jp,ZaqoEippo0b,4,68.4,38,1,17
mfawke9@seattletimes.com,A0CIfGUNW7,7,67.1,47,1,17
mmuroa@webnode.com,mdxceu0Cn1n,1,72.6,43,4,15
jmograb@dedecms.com,1gFB1C,11,71.8,50,1,24
wnoquetc@g.co,RHG5hAkq,12,99.3,34,3,16
dempletond@umich.edu,NkBud6o1R,4,77.3,42,1,19
mbosmae@histats.com,FJ0QPc,3,87.7,28,4,10
droosonf@themeforest.net,9uSLEUu,2,81.7,29,6,15
bteglerg@photobucket.com,bluFfRsELJE,12,94.6,50,4,27
pizzath@bravesites.com,KuyA5O,5,68,23,5,17
eyelyashevi@omniture.com,ZPSsg0aXeJ,8,70.6,27,7,18
nrossonj@state.tx.us,7YnJnBnx,6,77.2,46,1,15
adarbenk@wp.com,elUUUvguK,6,67.7,34,3,16
rrossl@hhs.gov,ssPAxK,8,75.4,49,7,19
fpetracchim@foxnews.com,7KnVDTMu3Ab,8,71.9,37,5,20
ojedrzejewskin@skype.com,l3q4Dhwu6GR,9,95.9,47,2,29
saseeo@shareasale.com,OJdd7S,4,90.5,22,6,18
jdouchp@flickr.com,IWXN7fkgDs,7,74.9,29,5,23
amcnessq@github.com,vdtFXIqq,11,82.2,43,4,19
mgorriessenr@mayoclinic.com,r6mYHWNECi,11,72.9,26,1,28
narmors@cpanel.net,pQ4yRYj,10,73,42,1,16
mblaschekt@stumbleupon.com,XRsUq7Rt6OfA,7,86.6,29,3,23
cerrickeru@amazon.com,xZjggvt,1,69.2,49,6,29
kkingswoldv@nationalgeographic.com,Z5jMLl,10,74.8,38,7,11
rtompsettw@google.com.br,W2Sun8,1,91.9,46,1,18
gguiverx@huffingtonpost.com,Q2kZoUUPVem,12,83.3,33,4,17
mtarberty@google.co.uk,E8rlaqkO2,5,77.6,41,7,26
shammerz@comcast.net,ZRPMZBhvUtO,11,70.5,22,5,23
ddytham10@friendfeed.com,W7obz9gb,7,83.1,28,3,17
wcourcey11@wordpress.org,0HxRZN4dNVKC,4,81.5,45,6,15
afedorski12@opensource.org,BTALQw1T,9,75.3,47,6,13
agentry13@deliciousdays.com,qr7cIn5gp,2,97.9,37,1,18
sovernell14@unesco.org,oXx9FV8,1,93.1,36,4,29
lcuncarr15@bloomberg.com,KNfa1bi,10,83.4,43,6,29
bdoogue16@ibm.com,sXMmcG,9,85,46,4,10
baronowicz17@twitter.com,HnreG9TQUJLX,3,88.6,43,6,16
rlambshine18@ovh.net,aiy88PpD8,3,75.3,30,7,28
obruck19@who.int,lIzYys5uiD,8,70.9,46,6,20
hbeardon1a@weebly.com,BmjFDEZ,6,85.3,32,3,17
nzemler1b@goodreads.com,pwt4vrzWG,9,67.8,44,2,20
asizland1c@printfriendly.com,qpIz1JT76o,3,74.7,46,1,29
ithroughton1d@feedburner.com,wkee0SOM,2,95.1,24,1,28
phayesman1e@google.es,y7jRkYNelXfr,8,86.5,20,5,10
akilmaster1f@digg.com,1O9BP95,5,78.4,50,1,12
msoares1g@skype.com,yMLTRB,11,84.7,31,7,24
rballs1h@mit.edu,Ve5zIXHTo,2,80.2,32,6,23
jmacgown1i@youtube.com,GuwpXTAa,9,90.3,49,6,22
afrostdick1j@lycos.com,glJkjpZ3n3W,11,71.1,33,6,23
bchaperlin1k@slideshare.net,rzBh65Jp7,11,88.5,45,3,22
rmeeson1l@japanpost.jp,KNpjFTXrT0,7,73.1,23,5,12
ftrippett1m@fema.gov,m4vkQzBB,8,78.8,48,6,25
shackley1n@privacy.gov.au,xwOjNq,6,80.4,37,7,21
smixture1o@woothemes.com,KZVB2Fe8,7,77.4,42,4,13
vgallatly1p@weather.com,H04nks5NHZh,9,84.6,47,3,17
kgunny1q@studiopress.com,HTQuSs,9,99,22,6,27
gstedmond1r@seesaa.net,JhzW7S0,5,74.1,32,3,22
dtratton1s@usa.gov,05bS9yr6Xg,9,88.9,25,1,18
mleipelt1t@unc.edu,NMUVhbNmn,2,67.5,41,6,23
jraw1u@bloglovin.com,xMCnn5,7,92.5,44,5,12
praisbeck1v@paginegialle.it,m19FMUDGs6,1,96.3,47,1,23
soverill1w@unc.edu,7pqgKq6n5a0D,3,93,27,4,24
igebhard1x@elegantthemes.com,amKfJPCj,11,90.3,48,5,13
dmitroshinov1y@weibo.com,OEpCuXCGk6N9,11,87.1,38,4,13
dmacillrick1z@mediafire.com,Xr461MFUHV,6,72.8,24,1,21
jpeppett20@google.cn,lrebAyX,3,92,38,4,16
tkinnane21@comcast.net,6noau2yhc2,8,85.9,43,5,17
afoulgham22@newyorker.com,8dePhhHDo,11,95.5,36,6,12
lhartas23@gov.uk,WlvtReRwIM,12,75.2,21,7,26
mchisman24@nytimes.com,U8YnhXkw,12,90.8,42,6,16
snix25@xrea.com,J2fo2A,12,70.6,22,3,20
eboylund26@sourceforge.net,tZ442BqyL,8,82.8,25,3,11
dkingscote27@toplist.cz,4Wt4wVcLb0Wc,6,96.2,37,4,21
agulberg28@flavors.me,DDjdkZKtPb,7,69.4,46,7,25
bsharpless29@tinypic.com,imi7Y2cYE,5,87.1,36,3,15
mfarmer2a@state.tx.us,kcEdVOxb,8,71.4,48,2,14
nmcgruar2b@cargocollective.com,M6zSVl,8,74.3,20,4,16
smosen2c@paginegialle.it,5rEFZyOppo,5,81.5,20,3,24
amacgauhy2d@posterous.com,mWp6H1aPkO,5,69.2,47,7,22
msherwood2e@washingtonpost.com,guvnmGB,10,98.3,48,7,10
lgoodier2f@wordpress.org,q0v90W0IQcl,7,81.9,33,2,29
cvischi2g@foxnews.com,KhSDaFr,5,82.9,21,5,16
thaily2h@usda.gov,wurNQfVnZo,1,99.8,40,3,26
bloadsman2i@bbc.co.uk,IX1a67hFc5m,3,84.4,32,7,18
nmathey2j@stumbleupon.com,lVauSZqdE,8,93.7,44,5,23
jmumm2k@etsy.com,ISQPkPPne4b4,11,76.9,47,5,10
jshortcliffe2l@weather.com,CHPS3KQCNl,2,81.5,44,7,23
jharradence2m@plala.or.jp,ClRJHq,7,76.2,49,4,15
hgubbin2n@mozilla.org,oIBmANPKvMLD,2,93.3,44,5,12
sdeekes2o@webnode.com,qPtquTEZ,5,72.6,41,2,19
trampton2p@columbia.edu,yCrzglYL0SGA,10,93.3,43,4,16
mphilcox2q@ucsd.edu,2vhipk,2,82.5,47,5,25
ppoole2r@springer.com,bYcsJn5eCRs,7,84.8,40,5,14
lshillitoe2s@godaddy.com,sOJ4VMBo99,5,92.3,27,6,11
cpowling2t@nba.com,hGBQZH,8,68.8,24,2,26
taskin2u@wiley.com,CPcZgrvkg,10,75.4,25,1,26
deardley2v@umn.edu,O5vd4qoA6pSx,4,86.7,32,5,24
bblois2w@cyberchimps.com,BB2qoOn7,11,98.5,27,6,30
